dataset,family,pool_type,target_vm,feature_group,mean_importance,std_importance,top1_frequency,top3_frequency,mean_rank,n_reps_used,group_key
adult,kNN,full_pool,V_m_nonHH,validation_brier,0.2689767601491296,0.09889296189609328,0.0,1.0,2.0,12,adult|kNN|full_pool|V_m_nonHH
adult,kNN,full_pool,V_m_nonHH,hp_weights,0.014915436663004017,0.0005553280944343244,0.0,1.0,3.0,12,adult|kNN|full_pool|V_m_nonHH
adult,kNN,full_pool,V_m_nonHH,hp_p,0.0010968837603175117,7.927453613156877e-05,0.0,0.0,4.0,12,adult|kNN|full_pool|V_m_nonHH
compas,GBM,Rashomon,V_m,validation_brier,0.45378985327039567,0.06486420649567987,1.0,1.0,1.0,12,compas|GBM|Rashomon|V_m
compas,GBM,Rashomon,V_m,hp_max_depth,0.20130559021743333,0.060037498958272824,0.0,0.8333333333333334,2.6666666666666665,12,compas|GBM|Rashomon|V_m
compas,GBM,Rashomon,V_m,hp_n_estimators,0.17310921876957427,0.045675766500507864,0.0,0.75,2.8333333333333335,12,compas|GBM|Rashomon|V_m
compas,GBM,Rashomon,V_m,hp_learning_rate,0.1429219534582947,0.02948133446840297,0.0,0.4166666666666667,3.5,12,compas|GBM|Rashomon|V_m
compas,GBM,Rashomon,V_m,hp_subsample,0.028873384284301928,0.006878627183933428,0.0,0.0,5.0,12,compas|GBM|Rashomon|V_m
compas,GBM,Rashomon,V_m_HH,validation_brier,0.5353730097930814,0.07980092890220654,1.0,1.0,1.0,12,compas|GBM|Rashomon|V_m_HH
compas,GBM,Rashomon,V_m_HH,hp_max_depth,0.19693825642185667,0.05718309087827078,0.0,1.0,2.0833333333333335,12,compas|GBM|Rashomon|V_m_HH
compas,GBM,Rashomon,V_m_HH,hp_learning_rate,0.1402069773726381,0.021294416203754735,0.0,1.0,2.9166666666666665,12,compas|GBM|Rashomon|V_m_HH
compas,GBM,Rashomon,V_m_HH,hp_n_estimators,0.08473336625752427,0.0323407950043208,0.0,0.0,4.083333333333333,12,compas|GBM|Rashomon|V_m_HH
compas,GBM,Rashomon,V_m_HH,hp_subsample,0.04274839015489954,0.011849277219792348,0.0,0.0,4.916666666666667,12,compas|GBM|Rashomon|V_m_HH
compas,GBM,Rashomon,V_m_nonHH,validation_brier,0.46679458110695027,0.06201102701188451,1.0,1.0,1.0,12,compas|GBM|Rashomon|V_m_nonHH
