dataset,family,subset,pool_type,hp,n_seeds,mean_importance,std_importance,mean_rank,importance_type
adult,kNN,HH,Rashomon,n_neighbors,10,0.40374765139632274,0.06836569513364929,2.0,decomposition
adult,kNN,HH,Rashomon,p,10,0.5843272891768523,0.04190674574701584,1.0,decomposition
adult,kNN,HH,Rashomon,weights,10,0.030988313313968435,0.007672806917543691,3.0,decomposition
adult,kNN,HH,full_pool,n_neighbors,10,0.9854492086344679,0.0019408472697055807,1.0,V_m
adult,kNN,HH,full_pool,p,10,0.0008211149567731414,0.0007843840530369882,3.0,V_m
adult,kNN,HH,full_pool,weights,10,0.005148615763261861,0.002421880328167972,2.0,V_m
adult,kNN,HH,full_pool,n_neighbors,10,0.6986177724410394,0.018304442242773503,1.0,decomposition
adult,kNN,HH,full_pool,p,10,0.1331021448672569,0.014412349731199465,2.0,decomposition
adult,kNN,HH,full_pool,weights,10,0.0394869592937921,0.00603570243883922,3.0,decomposition
adult,kNN,all,Rashomon,n_neighbors,10,0.8682881030046878,0.03979584062482689,1.0,V_m
adult,kNN,all,Rashomon,p,10,0.020820033475775584,0.018616427568199426,3.0,V_m
adult,kNN,all,Rashomon,weights,10,0.11336695248417201,0.04195923499572263,2.0,V_m
adult,kNN,all,Rashomon,n_neighbors,10,0.5404208200651308,0.047687604620436974,1.0,decomposition
