dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
compas,2,Rashomon,all,LogReg,l1_ratio,,vm_between_group_ratio,0.0884466755329653
compas,2,Rashomon,all,MLP,alpha,,vm_between_group_ratio,0.3989202667505039
compas,2,Rashomon,all,MLP,hidden_layer_sizes,,vm_between_group_ratio,0.2214210476470308
compas,2,Rashomon,all,MLP,activation,,vm_between_group_ratio,0.09345908059272232
compas,2,Rashomon,all,MLP,learning_rate_init,,vm_between_group_ratio,0.07469373372762568
compas,2,Rashomon,all,RF,min_samples_leaf,,vm_between_group_ratio,0.014070726430838258
compas,2,Rashomon,all,RF,n_estimators,,vm_between_group_ratio,0.013581274943660503
compas,2,Rashomon,all,RF,min_samples_split,,vm_between_group_ratio,0.006746454960821496
compas,2,Rashomon,all,RF,max_depth,,vm_between_group_ratio,0.003138181675038782
compas,2,Rashomon,all,RF,max_features,,vm_between_group_ratio,0.0030978476813830194
compas,2,Rashomon,all,kNN,n_neighbors,,vm_between_group_ratio,0.9997956142350412
